# Conventional Russian shorthand: shorthand<TAB>form[<TAB>lemma].
# Separate exact-match layer (see crates/abbrev-core/src/shortcuts.rs) —
# community conventions the fuzzy engine can't recover reliably. lemma is
# set when the form has a real paradigm (so "hold" shows its forms).
спс	спасибо	спасибо
пжлст	пожалуйста	пожалуйста
плз	пожалуйста	пожалуйста
пож	пожалуйста	пожалуйста
щас	сейчас	сейчас
ща	сейчас	сейчас
крч	короче	короче
оч	очень	очень
норм	нормально	нормально
прив	привет	привет
здаров	здравствуй	здравствовать
здарова	здравствуй	здравствовать
чел	человек	человек
тож	тоже	тоже
тока	только	только
скок	сколько	сколько
када	когда	когда
ваще	вообще	вообще
сёня	сегодня	сегодня
седня	сегодня	сегодня
заавтра	завтра	завтра
кста	кстати	кстати
тащемта	вообще-то	вообще-то
мб	может быть	может быть
нзч	не за что	не за что
др	день рождения	день рождения
спкн	спокойной ночи	спокойной ночи
дбро	доброе утро	доброе утро
пжл	пожалуйста	пожалуйста
збс	зашибись	зашибись

# ultra-short (2–3 chars): below the fuzzy length threshold, so the engine
# can only reach them through this exact-match layer. Keys are deliberately
# non-words (checked against the lexicon) so they never shadow a real word
# typed verbatim — keep-safety. lemma is the dictionary lemma where it has
# one, so a future hold-popup can offer case forms.
зн	знаю	знать
гд	где	где
ег	его	он
тя	тебя	ты
тбе	тебе	ты
мну	меня	я
кда	куда	куда
пж	пожалуйста	пожалуйста
пзж	позже	поздно
нзн	не знаю	не знаю
